iter	Logloss
0	0.6564267389
1	0.6276865862
2	0.6025603346
3	0.5810610547
4	0.5584643084
5	0.5416733111
6	0.5242412537
7	0.5125741574
8	0.5022344392
9	0.4900233098
10	0.4823349542
11	0.4727586901
12	0.4647774655
13	0.4581627129
14	0.4530704666
15	0.4480360387
16	0.4437511784
17	0.440671045
18	0.4372803157
19	0.4338786412
20	0.43025432
21	0.4278784725
22	0.4251761871
23	0.4229019803
24	0.4198709152
25	0.4183604877
26	0.4162596231
27	0.4147553994
28	0.4133657649
29	0.4118730773
30	0.410672005
31	0.4095541798
32	0.4084060167
33	0.4073403313
34	0.4064132898
35	0.4047724919
36	0.4039535447
37	0.4033647279
38	0.4022242643
39	0.4013687628
40	0.4004773142
41	0.3996566194
42	0.3991725809
43	0.3983530394
44	0.397938685
45	0.397211781
46	0.3963625403
47	0.3960330477
48	0.3958158976
49	0.3952009878
50	0.3949926078
51	0.3947633036
52	0.3944476305
53	0.3939938989
54	0.3936945723
55	0.3933772232
56	0.3931112537
57	0.3924149641
58	0.3920575145
59	0.3916974601
60	0.3915709137
61	0.3913261967
62	0.3909864496
63	0.3908649649
64	0.3905297162
65	0.3904199168
66	0.3901386422
67	0.3895786777
68	0.3892830613
69	0.3888723069
70	0.3887278624
71	0.3884328394
72	0.3883694853
73	0.3881281752
74	0.3880175342
75	0.387821231
76	0.3872618322
77	0.3871880137
78	0.3870673144
79	0.3870108997
80	0.3869473649
81	0.3866834033
82	0.3865435529
83	0.3859803945
84	0.3858273357
85	0.3856532686
86	0.3855200524
87	0.3854634134
88	0.3853289884
89	0.384964921
90	0.3847347098
91	0.3846962375
92	0.3845566286
93	0.3844329061
94	0.3843075819
95	0.3840686162
96	0.383999328
97	0.3835910573
98	0.3834614041
99	0.3834204498
100	0.3832294992
101	0.3831766979
102	0.3831220971
103	0.3829641082
104	0.3829236272
105	0.3828777931
106	0.3827830132
107	0.382702088
108	0.3824480818
109	0.3823961859
110	0.3823469669
111	0.3822791801
112	0.3822492506
113	0.3821287956
114	0.3819347766
115	0.3818510564
116	0.3818335071
117	0.3817767838
118	0.3815930299
119	0.3814446406
120	0.3813185278
121	0.3812738489
122	0.3811363146
123	0.3810324118
124	0.3809869394
125	0.3809338771
126	0.3808156565
127	0.3806047429
128	0.3804612504
129	0.3804163854
130	0.380372237
131	0.3803346741
132	0.3803122821
133	0.380235906
134	0.380136365
135	0.380104876
136	0.3799457491
137	0.3797765433
138	0.3796688634
139	0.3796425074
